Investor Name,Announced Date
IIFL Asset Management,2019-04-15
2019-04-16,Benjamin Ruschin
2019-04-16,Heise Medien
2019-04-16,i5invest
Nikolaus Futter,2019-04-16
2019-04-16,Thomas Bachem
2019-04-16,Udo Schloemer
2019-04-16,Career index
Ichigo,2019-04-16
King Capital,2019-04-16
2019-04-16,3L Capital
FirstMark,2019-04-16
2019-04-16,Torch Capital
CREATE-X,2019-04-16
2019-04-16,Startup Peru
2019-04-16,Remixpoint
2019-04-16,Anzu Partners
Innovate UK,2019-04-16
2019-04-16,500 Startups
GGV Capital,2019-04-16
Blue Note Ventures,2019-04-16
2019-04-16,Firebrand Ventures
2019-04-16,Mitsubishi UFJ Financial Group
Sozo Ventures,2019-04-16
Bossard Group,2019-04-16
CM Venture Capital,2019-04-16
Envision Capital,2019-04-16
2019-04-16,Reiter Capital
2019-04-16,Buildit Accelerator
2019-04-16,Envac Group
William Kirby,2019-04-16
Aser Media,2019-04-16
2019-04-16,Aperture Venture Partners
2019-04-16,Aphelion Capital
2019-04-16,Ascension Ventures
2019-04-16,Health Enterprise Partners
2019-04-16,HealthQuest Capital
2019-04-16,Lumira Ventures
Rex Health Ventures,2019-04-16
2019-04-16,River Cities Capital Funds
SV Health Investors,2019-04-16
United States Advanced Battery Consortium,2019-04-16
2019-04-16,Maple Leaf Angels
Panache Ventures,2019-04-16
Ripple Ventures,2019-04-16
2019-04-16,Stout Street Capital
2019-04-16,Johannes Berggren
2019-04-16,HV Holtzbrinck Ventures
2019-04-16,LocalGlobe
MPGI,2019-04-16
Pentland Ventures,2019-04-16
2019-04-16,Picus Capital
2019-04-16,Samos
2019-04-16,Tom Stafford
Sozala Media,2019-04-16
2019-04-16,8VC
2019-04-16,Bessemer Venture Partners
2019-04-16,Chengwei Capital
2019-04-16,Daimler
2019-04-16,Matrix Partners
Next47,2019-04-16
2019-04-16,Sutter Hill Ventures
DFJ Growth,2019-04-16
2019-04-16,Four Rivers Group
2019-04-16,Lemonade Capital
Lone Pine Capital,2019-04-16
M12,2019-04-16
2019-04-16,Mayfield Fund
2019-04-16,Meritech Capital Partners
Sapphire Ventures,2019-04-16
Spark Capital,2019-04-16
2019-04-16,Trinity Ventures
2019-04-16,Founders Fund
Republic Labs,2019-04-16
2019-04-16,Akshay Kothari
2019-04-16,Alan Mamedi
Amit Mital,2019-04-16
2019-04-16,Amrish Rau
2019-04-16,Haresh Chawla
Mukesh Bansal,2019-04-16
Nami Zarringhalam,2019-04-16
2019-04-16,Nithin Kamath
Rainmatter Capital,2019-04-16
2019-04-16,Sriharsha Majety
2019-04-16,Sriram Krishnan
2019-04-16,Alexandria Venture Investments
ARCH Venture Partners,2019-04-16
Bezos Expeditions,2019-04-16
Foresite Capital,2019-04-16
GV,2019-04-16
2019-04-16,Mubadala Capital | Ventures US
Third Rock Ventures,2019-04-16
Two Sigma Ventures,2019-04-16
CP Ventures,2019-04-16
2019-04-16,Family Angel Management Fund
2019-04-16,Cyber Wisdom
2019-04-16,East West Bank
2019-04-16,HEDA Ventures
Lightbridge Partners,2019-04-16
TSVC,2019-04-16
ZhenFund,2019-04-16
2019-04-16,Breakout Ventures
Builders VC,2019-04-16
2019-04-16,Godfrey Capital
2019-04-16,KdT Ventures
Plug and Play,2019-04-16
Sahsen Ventures,2019-04-16
2019-04-16,Viking Global Investors
2019-04-16,Bain Capital Ventures
2019-04-16,Battery Ventures
Costanoa Ventures,2019-04-16
2019-04-16,Industry Ventures
2019-04-16,Salesforce Ventures
2019-04-16,Venrock
Plug and Play,2019-04-16
Plug and Play,2019-04-16
Plug and Play,2019-04-16
2019-04-16,Health Enterprise Partners
Heritage Group,2019-04-16
LinkAge Fund,2019-04-16
McKesson Ventures,2019-04-16
2019-04-16,Anirudh Damani
2019-04-16,Daud Ali
Jayesh Shah,2019-04-16
2019-04-16,Krishna Jhujhunwala
2019-04-16,Narendra Karnavat
2019-04-16,Venture Catalysts
Vikas Kapoor,2019-04-16
Vikram Lakhotia,2019-04-16
2019-04-16,Meaningful Partners
2019-04-16,Murano Group
2019-04-16,Pendyne Capital
Goodwater Capital,2019-04-16
2019-04-16,Highland Capital Partners
Next Coast Ventures,2019-04-16
NextGen Venture Partners,2019-04-16
2019-04-16,1984 Ventures
Canvas Ventures,2019-04-16
Moment Ventures,2019-04-16
2019-04-16,Y Combinator
2019-04-16,Tarus Capital
Plug and Play,2019-04-16
CoVenture,2019-04-16
Dorm Room Fund,2019-04-16
2019-04-16,MIT Alumni Angels of DC
2019-04-16,TEDCO
2019-04-16,Perceptive Advisors
2019-04-16,RRE Ventures
2019-04-16,Hillhouse Capital Group
2019-04-16,Jiawei Gan
2019-04-16,New Horizon Capital
2019-04-16,Shunwei Capital
2019-04-16,Xiaomi
2019-04-16,Alister Jordan
2019-04-16,Andrew McGill
2019-04-16,Chris Hadley
Jason Weeks,2019-04-16
2019-04-16,Richard Elmslie
2019-04-16,Egora Holding
High-Tech Grunderfonds,2019-04-16
2019-04-16,IBB Beteiligungsgesellschaft
MGO Digital Ventures,2019-04-16
2019-04-16,Ringier Digital Ventures
2019-04-16,John Griffin
2019-04-16,Third Prime
Beyond Ventures,2019-04-16
Gaw Capital Partners,2019-04-16
2019-04-16,Hongkong Innovation and Technology Fund
Magic Capital,2019-04-16
2019-04-16,Amplo
2019-04-16,Susa Ventures
Sabvest Limited,2019-04-16
Blenheim Chalcot,2019-04-16
2019-04-16,Future Fifty
2019-04-16,Legal & General
Cambridge Innovation Capital,2019-04-16
2019-04-16,EQT Ventures
2019-04-16,Parkwalk Advisors
2019-04-16,500 Startups
2019-04-16,Faith Capital
2019-04-16,DN Capital
e.ventures,2019-04-16
2019-04-16,Nexus Venture Partners
Omidyar Network,2019-04-16
National Institutes of Health,2019-04-16
2019-04-16,Raveen Sastry
2019-04-16,Ravi Garikipati
2019-04-16,Sanjay Ramakrishnan
Eight Roads Ventures,2019-04-16
2019-04-16,Barclays Investment Bank
Delian Capital,2019-04-16
2019-04-16,WI Harper Group
ZhenFund,2019-04-16
2019-04-16,Axioma Ventures
2019-04-16,Polaris Growth Fund
2019-04-16,Khosla Ventures
Skyview Capital,2019-04-16
2019-04-16,National Heart
2019-04-16,Lung and Blood Institute
SIG China (SIG Asia Investments),2019-04-16
2019-04-16,Zhizhuo Capital
2019-04-16,Naresh Malhotra
2019-04-16,VAMM Ventures
Faxian Venture Capital,2019-04-16
2019-04-16,Legend Star
2019-04-16,Capnamic Ventures
WestTech Ventures,2019-04-16
2019-04-16,Cathay Sustainable Private Equity Fund
2019-04-16,Rockaway Capital
King Capital,2019-04-16
2019-04-16,Squadron Medical Finance Solutions
2019-04-16,Sumitomo Corporation
2019-04-16,The Audacious Project
2019-04-16,Michael Bristow
2019-04-16,The Audacious Project
responsAbility,2019-04-16
Bangchak,2019-04-16
2019-04-16,Unilever Ventures
2019-04-16,International Cannabis Corp
2019-04-16,SK Group
2019-04-16,BookMyShow
2019-04-16,China Growth Capital | CGC
2019-04-16,Horizon 2020
2019-04-16,Desay SV Automotive
2019-04-16,WES Ecosystem Fund Canada
2019-04-16,Apollo
2019-04-16,The Cynosure Group
2019-04-16,Insignia Ventures Partners
2019-04-16,Brinc
East Chain Co.,2019-04-16
2019-04-17,Mumbai Angels
2019-04-17,Tom Chapman
2019-04-17,Battery Ventures
Canaan Partners,2019-04-17
2019-04-17,Conductive Ventures
David Rogier,2019-04-17
2019-04-17,Dennis Wong
Dreamers VC,2019-04-17
Michael Zeisser,2019-04-17
2019-04-17,New Enterprise Associates
2019-04-17,Stanford University
SVB Capital,2019-04-17
2019-04-17,Will Smith
2019-04-17,Polymath Ventures
2019-04-17,Georgia's Innovation and Technology Agency
2019-04-17,BAM Ventures
2019-04-17,BAM Ventures
2019-04-17,Crowdcube
2019-04-17,Crowdcube
2019-04-17,8VC
2019-04-17,Aquiline Technology Growth
2019-04-17,Constance Freedman
Liberty Mutual Insurance,2019-04-17
2019-04-17,Moderne Ventures
2019-04-17,Munich Re Ventures
Qatar Investment Authority,2019-04-17
2019-04-17,Solon Mack Capital
2019-04-17,Authentic Ventures
2019-04-17,Index Ventures
Stripe,2019-04-17
Katalyst.Ventures,2019-04-17
Pulsar Venture Capital,2019-04-17
Pulsar Venture Capital,2019-04-17
Pulsar Venture Capital,2019-04-17
Pulsar Venture Capital,2019-04-17
BoxGroup,2019-04-17
First Round Capital,2019-04-17
2019-04-17,Maynard Webb
2019-04-17,Quiet Capital
2019-04-17,Village Global
2019-04-17,CRV
2019-04-17,Human Capital
Maven Ventures,2019-04-17
Bonsai Partners,2019-04-17
2019-04-17,Craft Ventures
2019-04-17,Max Levchin
2019-04-17,SV Angel
2019-04-17,TheVentureCity Fund
GGV Capital,2019-04-17
2019-04-17,Blufolio
2019-04-17,Matrix Partners
Playground Global,2019-04-17
Spark Capital,2019-04-17
2019-04-17,Tiger Global Management
2019-04-17,Alpana Ventures
2019-04-17,Avalancha Ventures
2019-04-17,Daimler
2019-04-17,Nico Rosberg
Expon Capital,2019-04-17
2019-04-17,IndieBio
2019-04-17,SOSV
2019-04-17,General Atlantic
General Catalyst,2019-04-17
2019-04-17,Innospark Ventures
2019-04-17,Swanbridge Capital
Brandenburg Kapital,2019-04-17
Senovo,2019-04-17
2019-04-17,Adam Bain
2019-04-17,Airbnb
Barry Sternlicht,2019-04-17
2019-04-17,Dick Costolo
2019-04-17,Fifth Wall
2019-04-17,Jaws Ventures
2019-04-17,New Enterprise Associates
Obvious Ventures,2019-04-17
RXR Realty,2019-04-17
2019-04-17,SignalFire
SineWave Ventures,2019-04-17
2019-04-17,Tishman Speyer
2019-04-17,Tusk Ventures
2019-04-17,Armada Credit Partners
2019-04-17,Norwest Venture Partners
2019-04-17,Montis Capital Group
2019-04-17,Bain Capital Ventures
ClearSky,2019-04-17
2019-04-17,CRV
2019-04-17,Intel Capital
2019-04-17,Mayfield Fund
