Investor Name,Announced Date 
ByteDance,2019-06-06
Global Founders Capital,2019-06-06
Maersk Growth,2019-06-06
Picus Capital,2019-06-06
2019-06-06,Tiger Global Management
Acies Ventures,2019-06-06
Muzammil Patel,2019-06-06
Rahul Murthi,2019-06-06
Five Seasons Ventures,2019-06-06
New Ground Ventures,2019-06-06
Oxford Sciences Innovation,2019-06-06
Samsung Ventures,2019-06-06
University of Oxford,2019-06-06
IAN Fund,2019-06-06
IDFC-Parampara Fund,2019-06-06
Jyoti Sagar,2019-06-06
Forerunner Ventures,2019-06-06
Talis Capital,2019-06-06
Y Combinator,2019-06-06
Aera VC,2019-06-06
IndieBio,2019-06-06
2019-06-06,SOSV
Atlanta Ventures,2019-06-06
TechSquare Labs,2019-06-06
2019-06-06,BPO Capital
2019-06-06,YA Global
Inveready,2019-06-06
Sabadell Venture Capital,2019-06-06
2019-06-06,Industrial Securities Capital
Axeleo,2019-06-06
BNP Paribas Private Equity,2019-06-06
2019-06-06,Guangxi Investment Group
Cliff Holekamp,2019-06-06
Cultivation Capital,2019-06-06
EDBI,2019-06-06
Founders Fund,2019-06-06
Lumen Ventures,2019-06-06
Sequitur Capital Srl,2019-06-06
Environmental Protection Agency,2019-06-06
Gilles Mischler,2019-06-06
Pittsburgh Life Sciences Greenhouse,2019-06-06
Dye Capital & Company,2019-06-06
Bill & Melinda Gates Foundation,2019-06-06
2019-06-06,Avnet
Guangzhou Lexin Equity Fund Management,2019-06-06
Google,2019-06-06
NPIF – BFS & MSIF Microfinance,2019-06-06
Craig Newmark Philanthropies,2019-06-06
Alium Capital,2019-06-06
Department of Industry,2019-06-06
Innovation and Science,2019-06-06
European Commission,2019-06-06
Recurring Capital Partners,2019-06-06
Hiventures Investment Fund,2019-06-06
2019-06-06,TMT Investments
2019-06-07,Monex Ventures
2019-06-07,Nippon Venture Capital
2019-06-07,Skyarch Networks
2019-06-07,Axil Capital
2019-06-07,Mitsubishi UFJ Capital
2019-06-07,Alumni Ventures Group
AVG First Check Fund,2019-06-07
2019-06-07,AVG Frontier Fund
2019-06-07,AVG Social Impact Fund
2019-06-07,AVG Women's Fund
The Syndicate Fund,2019-06-07
Total Access Fund,2019-06-07
2019-06-07,1776 Ventures
2019-06-07,Adam Draper
Aster,2019-06-07
2019-06-07,Elemental Excelerator
Keval Desai,2019-06-07
Plug and Play,2019-06-07
2019-06-07,RATP Dev
2019-06-07,Renewal Funds
2019-06-07,Samsung NEXT
StartX (Stanford-StartX Fund),2019-06-07
2019-06-07,Total Ventures
2019-06-07,Via ID
Wind Capital,2019-06-07
Balmoral Funds,2019-06-07
2019-06-07,DIP Corporation
2019-06-07,REALITY ACCELERATOR
Monitas,2019-06-07
2019-06-07,Accelerate Venture Partners
KCRise Fund,2019-06-07
2019-06-07,Royal Street Ventures
SaaS Ventures,2019-06-07
Service Provider Capital,2019-06-07
2019-06-07,Stout Street Capital
2019-06-07,Techstars
Ecomott,2019-06-07
2019-06-07,Elevation Investments
2019-06-07,500 Startups
2019-06-07,Mucker Capital
EQx Fund,2019-06-07
MBG Schleswig-Holstein,2019-06-07
2019-06-07,Apurv Dhumal
2019-06-07,Crowdcube
2019-06-07,Crowdcube
La Famiglia,2019-06-07
2019-06-07,500 Startups
2019-06-07,Foundation Capital
Mountain Nazca,2019-06-07
Omidyar Network,2019-06-07
2019-06-07,Y Combinator
2019-06-07,Paul Buchheit
2019-06-07,Soma Capital
2019-06-07,Steve Chen
2019-06-07,Venture Highway
2019-06-07,National Institute of Allergy and Infectious Diseases
National Institutes of Health,2019-06-07
2019-06-07,Norwest Venture Partners
2019-06-07,Salesforce Ventures
2019-06-07,Still Venture Capital
Nimble Ventures,2019-06-07
2019-06-07,Alpana Ventures
Plug and Play,2019-06-07
2019-06-07,New Enterprise Associates
Ospraie Ag Sciences,2019-06-07
GGV Capital,2019-06-07
2019-06-07,Tech Coast Angels
FCP Emprendimiento e Innovación SP,2019-06-07
2019-06-07,Axon Partners Group
Javier Rubio,2019-06-07
2019-06-07,Blue Bear Capital
2019-06-07,Congruent Ventures
2019-06-07,Y Combinator
2019-06-07,InQvation
2019-06-07,Vaekstfonden
2019-06-07,HAX
2019-06-07,SOSV
2019-06-07,NFX
2019-06-07,NFX
2019-06-07,HAX
2019-06-07,SOSV
2019-06-07,HAX
2019-06-07,SOSV
Contrarian Ventures,2019-06-07
2019-06-07,Expansion Capital
2019-06-07,Thorgate Ventures
2019-06-07,EMV Capital
2019-06-07,Foundamental
2019-06-07,Wealth Club
2019-06-07,TA Associates
2019-06-07,Warburg Pincus
2019-06-07,Woolworths Limited
2019-06-07,Jackson Square Ventures
2019-06-07,TechOperators
2019-06-07,Exponential Impact
2019-06-07,Fly Ventures
2019-06-07,Iron Wolf Capital
2019-06-07,Public Pension Capital (PPC)
CVC Capital Partners,2019-06-07
2019-06-07,Global Sports Commerce
2019-06-07,Cantor Fitzgerald Canada Corporation
2019-06-07,A.G. Barr
Innovate UK,2019-06-07
2019-06-07,consortium
2019-06-07,Federal Government
2019-06-07,National Heart
2019-06-07,Lung and Blood Institute
Trilogy Equity Partners,2019-06-07
Innovate UK,2019-06-07
2019-06-07,Innovation Works
2019-06-07,Stage 1 Fund
2019-06-07,Global Founders Capital
2019-06-07,Hemex
Libbs Farmacêutica,2019-06-08
William Ray Norwood Jr.,2019-06-08
2019-06-09,Johnson & Johnson
Crowdcube,2019-06-09
Genezis Technology Capital,2019-06-09
Tahoma Ventures,2019-06-09
Smartup Ventures,2019-06-09
Krypto Labs,2019-06-09
Krypto Labs,2019-06-09
Krypto Labs,2019-06-09
Krypto Labs,2019-06-09
Krypto Labs,2019-06-09
Krypto Labs,2019-06-09
Mikael Ahlström,2019-06-09
Krypto Labs,2019-06-09
Sequoia Capital,2019-06-09
Mori Trust,2019-06-10
Toyoda Gosei North America Corporation,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Daniel Krauss,2019-06-10
InMotion Ventures,2019-06-10
Jochen Engert,2019-06-10
Journey Ventures,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Barbara Wachsman,2019-06-10
Gabriel Diop,2019-06-10
Howard Charney,2019-06-10
Jackson Moses,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Alumni Ventures Group,2019-06-10
Boston Seed Capital,2019-06-10
General Catalyst,2019-06-10
Golden Ventures,2019-06-10
Manifest Investment Partners,2019-06-10
Morningside Venture Partners,2019-06-10
The Yard Ventures,2019-06-10
Total Access Fund,2019-06-10
Victress Capital,2019-06-10
Aptiv,2019-06-10
Beijing Phoenix Wealth Holding Group,2019-06-10
China Merchants Group,2019-06-10
Harel Insurance Investments and Financial Services,2019-06-10
2019-06-10,Magna International
New Alliance Capital,2019-06-10
Shenzhen Capital Group,2019-06-10
Softbank Ventures Asia,2019-06-10
Techstars,2019-06-10
Techstars Sports Accelerator Powered by Indy,2019-06-10
Dynamo,2019-06-10
Insight Partners,2019-06-10
Loup Ventures,2019-06-10
Tao Capital Partners,2019-06-10
Toba Capital,2019-06-10
Unilever Ventures,2019-06-10
2019-06-10,Korea Investment Partners
2019-06-10,Nan Fung Life Sciences
Panacea Venture,2019-06-10
Pivotal bioVenture Partners China,2019-06-10
First Launch Capital Fund,2019-06-10
Amasia,2019-06-10
Anterra Capital,2019-06-10
Continental Grain Company,2019-06-10
Cultivian Sandbox Ventures,2019-06-10
2019-06-10,Novo Holdings
2019-06-10,Open Prairie
Pangaea Ventures,2019-06-10
Accel,2019-06-10
2019-06-10,Khosla Ventures
TCV,2019-06-10
Huckletree Alpha Programme London,2019-06-10
Huckletree Alpha Programme London,2019-06-10
Huckletree Alpha Programme London,2019-06-10
Lemniscap,2019-06-10
Techstars,2019-06-10
Western Union Accelerator Powered by Techstars,2019-06-10
Atomico,2019-06-10
Construct Venture,2019-06-10
Northzone,2019-06-10
2019-06-10,NREP
OBOS Forsikring,2019-06-10
Round Hill Ventures,2019-06-10
Craft Ventures,2019-06-10
LAUNCH,2019-06-10
Outcomes Fund,2019-06-10
Soaring Startup Circle Venture Partners,2019-06-10
SV Angel,2019-06-10
Todd Jackson,2019-06-10
Powerhouse Ventures,2019-06-10
AltaIR Capital,2019-06-10
Louis Beryl,2019-06-10
Y Combinator,2019-06-10
XYMAX ALPHA,2019-06-10
500 Startups,2019-06-10
Lightspeed India Partners,2019-06-10
Morningside Venture Capital,2019-06-10
2019-06-10,Tiger Global Management
Venture Highway,2019-06-10
Y Combinator,2019-06-10
24 Haymarket,2019-06-10
Accel,2019-06-10
IQ Capital,2019-06-10
Partech,2019-06-10
Salesforce Ventures,2019-06-10
Chen Yukun,2019-06-10
Ganesh Krishnan,2019-06-10
Gaurav Munjal,2019-06-10
Hemesh Singh,2019-06-10
Nexus Venture Partners,2019-06-10
Roman Saini,2019-06-10
Srinivas Anumolu,2019-06-10
LIAN Group,2019-06-10
CyberAgent Capital,2019-06-10
Nanto Bank,2019-06-10
CommIT Capital,2019-06-10
VEB Ventures,2019-06-10
Cornerstone Venture Partners,2019-06-10
YFM Equity Partners,2019-06-10
Hachshara Insurance Company,2019-06-10
Baring Vostok Capital Partners,2019-06-10
2019-06-10,Flashpoint
Mubadala Capital | Ventures US,2019-06-10
RTP Global,2019-06-10
Russian Direct Investment Fund,2019-06-10
Winter Capital,2019-06-10
Chang Development,2019-06-10
Legend Capital,2019-06-10
Silk Road Huachuang,2019-06-10
Sunland Fund,2019-06-10
Sunshine Insurance Group,2019-06-10
VEB Ventures,2019-06-10
Asia United Fund,2019-06-10
China Innovation Investment,2019-06-10
China Trends Holdings,2019-06-10
500 Startups,2019-06-10
L Catterton,2019-06-10
Starwood Capital Group,2019-06-10
Argonaut Private Equity,2019-06-10
General Atlantic,2019-06-10
MissionOG,2019-06-10
S3 Ventures,2019-06-10
Far East Horizon,2019-06-10
Idinvest Partners,2019-06-10
Jeneration Capital,2019-06-10
Oriza Seed Capital (Oriza Yuandian),2019-06-10
Toutoushidao Capital,2019-06-10
2019-06-10,Xinhu Zhongbao Co Ltd
Techstars,2019-06-10
Andrew Waitman,2019-06-10
Chandan Joshi,2019-06-10
2019-06-10,Ramakant Sharma
Utsav Somani,2019-06-10
Development Bank of Wales,2019-06-10
Karl Wills,2019-06-10
Richard Salvage,2019-06-10
Koinvesticinis Fondas,2019-06-10
Lithuanian Business Angel Network,2019-06-10
Open Circle Capital,2019-06-10
NEO Global Capital (NGC),2019-06-10
Bulba Ventures,2019-06-10
KUNLUN,2019-06-10
HAX,2019-06-10
2019-06-10,SOSV
Inflection Point Ventures,2019-06-10
Food Research and Action Center,2019-06-10
Walmart Foundation,2019-06-10
2019-06-10,CCB International
Industrial and Commercial Bank of China,2019-06-10
Dongfeng Printing,2019-06-10
Shunho Stock,2019-06-10
Export Development Canada,2019-06-10
McRock Capital,2019-06-10
Scottish Equity Partners,2019-06-10
Sanjeev Juneja,2019-06-10
2019-06-10,African Rainbow Capital
Ethos Private Equity,2019-06-10
CUNA Mutual Group,2019-06-10
Northwestern Mutual Future Ventures,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Creative Destruction Lab,2019-06-10
Coplex,2019-06-10
JDS Sports,2019-06-10
LLC,2019-06-10
DeepWork Capital,2019-06-10
Jefferson Foundation,2019-06-10
2019-06-10,PDL Biopharma
Alsop Louie Partners,2019-06-10
Gaingels,2019-06-10
Insight Investment,2019-06-10
Raging Bull,2019-06-10
Miguel Patricio,2019-06-10
Denghuo Blockchain,2019-06-10
BBRC Private Equity,2019-06-10
European Commission,2019-06-10
Qingsong Fund,2019-06-10
Qyer.com,2019-06-10
Meriton Capital,2019-06-10
SA SME Fund,2019-06-10
2019-06-10,Tencent Holdings
24 Haymarket,2019-06-10
Greenwood Way Capital,2019-06-10
2019-06-10,Oxford Investment Consultants LLP
NSF Small Business Innovation Research / Small Business Technology Transfer (SBIR/STTR),2019-06-10
2019-06-11,Hack Ventures
JR East Start Up,2019-06-11
Kips,2019-06-11
Mitsui Sumitomo Insuarance Venture Capital,2019-06-11
ABBALab - Atom to Bit,2019-06-11
2019-06-11,Bit to Atom
ANRI,2019-06-11
Ayataro Nakagawa,2019-06-11
2019-06-11,East Ventures
2019-06-11,Takanori Katagiri
BootstrapLabs,2019-06-11
Breyer Capital,2019-06-11
2019-06-11,Digital Alpha Advisors
2019-06-11,Engage Ventures
Good Growth Capital,2019-06-11
2019-06-11,Greycroft
Plug and Play,2019-06-11
Rise of the Rest,2019-06-11
Stanford University Venture Fund,2019-06-11
Two Sigma Ventures,2019-06-11
2019-06-11,Techstars
2019-06-11,Techstars Atlanta
2019-06-11,COX Enterprises Social Impact Accelerator
2019-06-11,East Ventures
Skyland Ventures,2019-06-11
Alexandre Scialom,2019-06-11
2019-06-11,BDMI
2019-06-11,CRCM Ventures
2019-06-11,Draper Associates
2019-06-11,Floodgate
2019-06-11,Maveron
2019-06-11,Tank Hill Ventures
Acadia Woods Partners,2019-06-11
Alumni Ventures Group,2019-06-11
AVG Elite Engineering Fund,2019-06-11
AVG Frontier Fund,2019-06-11
Congruent Ventures,2019-06-11
2019-06-11,Prelude Ventures
2019-06-11,Purple Arch Ventures
Samsung Ventures,2019-06-11
Shell Ventures,2019-06-11
Total Access Fund,2019-06-11
2019-06-11,DST Global
Greenoaks Capital,2019-06-11
Human Capital,2019-06-11
IVP (Institutional Venture Partners),2019-06-11
Kleiner Perkins,2019-06-11
Ribbit Capital,2019-06-11
2019-06-11,Y Combinator
investiere | Verve Capital Partners,2019-06-11
Coverys,2019-06-11
2019-06-11,Felicis Ventures
Figure Eight Investments,2019-06-11
FundRx,2019-06-11
2019-06-11,Greycroft
Joyance Partners,2019-06-11
LearnStart,2019-06-11
Social Starts,2019-06-11
ANRI,2019-06-11
Canal Ventures,2019-06-11
CyberAgent,2019-06-11
Japan Finance Corporation,2019-06-11
2019-06-11,Ogaki Kyoritsu Bank
Seven Bank,2019-06-11
Andreessen Horowitz,2019-06-11
DNS Capital,2019-06-11
Green Bay Ventures,2019-06-11
Grove Ventures,2019-06-11
M12,2019-06-11
2019-06-11,Cyberstarts
Eight Roads Ventures,2019-06-11
MState,2019-06-11
Swisscom Ventures,2019-06-11
2019-06-11,Tenaya Capital
2019-06-11,BECO Capital
Dynamo,2019-06-11
Global Founders Capital,2019-06-11
Justin Mateen,2019-06-11
2019-06-11,Matt Mickiewicz
Paul Buchheit,2019-06-11
Paul Graham,2019-06-11
Peter Thiel,2019-06-11
2019-06-11,Soma Capital
VentureSouq,2019-06-11
2019-06-11,Y Combinator
Loyal VC,2019-06-11
2019-06-11,China Merchants Capital
Coatue Management,2019-06-11
DCM Ventures,2019-06-11
Sequoia Capital China,2019-06-11
2019-06-11,Source Code Capital
2019-06-11,Sumitomo Corporation Equity Asia
Wangzi Investment,2019-06-11
2019-06-11,Boost Heroes
2019-06-11,Club Acceleratori
2019-06-11,Club degli Investitori
2019-06-11,LVenture Group
NFX,2019-06-11
Prototype Capital,2019-06-11
Fortino Capital,2019-06-11
Alaya Capital Partners,2019-06-11
2019-06-11,Alliance Venture
Costanoa Ventures,2019-06-11
New Enterprise Associates,2019-06-11
Struck Capital,2019-06-11
Brii Biosciences,2019-06-11
Elm Street Ventures,2019-06-11
2019-06-11,Hatteras Venture Partners
2019-06-11,Johnson & Johnson Innovation
Marin Investments,2019-06-11
OUP (Osage University Partners),2019-06-11
500 Startups,2019-06-11
Astanor Ventures,2019-06-11
Atomico,2019-06-11
2019-06-11,Balderton Capital
Cherry Ventures,2019-06-11
2019-06-11,TriplePoint Capital
Dai-ichi Life,2019-06-11
2019-06-11,Khosla Ventures
Sompo Holdings,2019-06-11
Casdin Capital,2019-06-11
Dreamers VC,2019-06-11
2019-06-11,Echo Health Ventures
LRVHealth,2019-06-11
2019-06-11,Manatt Venture Fund
Perceptive Advisors,2019-06-11
NatWest Markets,2019-06-11
2019-06-11,Varadero European Special Opportunities
Waterfall Asset Management,2019-06-11
2019-06-11,Avianta Capital
IDC Ventures,2019-06-11
Kibo Ventures,2019-06-11
2019-06-11,Maniv Mobility
Stella Maris Partners,2019-06-11
2019-06-11,TA Ventures
2019-06-11,Venture Catalysts
Ag Startup Engine,2019-06-11
Faro Capital,2019-06-11
Gunnar Nilsson Cancer Foundation,2019-06-11
2019-06-11,Hadean Ventures
L Catterton,2019-06-11
New Enterprise Associates,2019-06-11
Tull Investment Group,2019-06-11
Victor Oladipo,2019-06-11
Yoshiki Hayashi,2019-06-11
Courtney Cole,2019-06-11
Darren peck,2019-06-11
2019-06-11,Dave Cox
Jackie Cox,2019-06-11
2019-06-11,Monica Peck
.406 Ventures,2019-06-11
Accomplice,2019-06-11
2019-06-11,Pillar Ventures
360 Capital Partners,2019-06-11
2019-06-11,Booking Holdings
GIC,2019-06-11
2019-06-11,Adelie
2019-06-11,Creadev
2019-06-11,DN Capital
2019-06-11,Angel Investors/HNIs
2019-06-11,Entrust Family Office
2019-06-11,Insitor Fund
2019-06-11,Lok Capital
GGV Capital,2019-06-11
Finistere Ventures,2019-06-11
Maersk Growth,2019-06-11
Mindset Ventures,2019-06-11
2019-06-11,Radicle Growth
Jerry Jacobs Jr.,2019-06-11
Algebra Ventures,2019-06-11
NFX,2019-06-11
HCS Capital Partners,2019-06-11
Dragoneer Investment Group,2019-06-11
Franklin Templeton Investments,2019-06-11
btov Partners,2019-06-11
investiere | Verve Capital Partners,2019-06-11
2019-06-11,Second Century Ventures
Fearnley Securities,2019-06-11
Macquarie Capital,2019-06-11
NB Aurora,2019-06-11
Dean Bartosh,2019-06-11
Sunmeet Jolly,2019-06-11
Khalid AlHadlaq,2019-06-11
Rainmakers,2019-06-11
Joyance Partners,2019-06-11
Social Starts,2019-06-11
HAX,2019-06-11
2019-06-11,SOSV
42CAP,2019-06-11
2019-06-11,HV Holtzbrinck Ventures
2019-06-11,Toba Capital
2019-06-11,Capital Angels Network
Panache Ventures,2019-06-11
High-Tech Grunderfonds,2019-06-11
Merlin International,2019-06-11
2019-06-11,Forerunner Ventures
PNC Bank,2019-06-11
PNC Capital Markets,2019-06-11
Andurance Ventures,2019-06-11
2019-06-11,Azom Partners
2019-06-11,SC Launch
VentureSouth,2019-06-11
Greenoaks Capital,2019-06-11
YFM Equity Partners,2019-06-11
SuperSeed,2019-06-11
HAVAÍC,2019-06-11
Shenzhen Capital Group,2019-06-11
Redhill Capital,2019-06-11
Sunland Fund,2019-06-11
2019-06-11,Crescendo Equity Partners
Netherlands Enterprise Agency,2019-06-11
2019-06-11,River Venture Partners
Creative Destruction Lab,2019-06-11
CoMade,2019-06-11
2019-06-11,FreshTracks Capital
2019-06-11,Decathlon Capital Partners
UniCredit Group,2019-06-11
2019-06-11,Morgan Stanley Capital Partners
GT Healthcare Capital Partners,2019-06-11
Sanford Health,2019-06-11
The Firmament Group,2019-06-11
Sheridan Capital Partners,2019-06-11
Andreessen Horowitz,2019-06-11
Greenland Hong Kong Holdings Limited,2019-06-11
2019-06-11,New Brunswick Innovation Foundation
Lee Shau Kee Foundation,2019-06-11
2019-06-11,BlueRun Ventures
INVL Asset Management,2019-06-11
2019-06-11,JMI Equity
2019-06-11,AVentures Capital
European Commission,2019-06-11
Monolith Capital,2019-06-11
2019-06-11,Chalmers Ventures AB
Meal Temple Group,2019-06-11
StartUp Health,2019-06-11
2019-06-12,Global Brain Corporation
2019-06-12,iMercury Capital
2019-06-12,Japan Post Capital
2019-06-12,Mitsui Fudosan
2019-06-12,SBI Investment
SMBC Venture Capital,2019-06-12
2019-06-12,Chubu Electric Power Company
2019-06-12,Crosslink Capital
2019-06-12,Freestyle Capital
2019-06-12,Lightspeed Venture Partners
2019-06-12,Plus Capital
2019-06-12,Silicon Valley Bank
2019-06-12,Tenaya Capital
2019-06-12,Threshold
Digital Garage,2019-06-12
FirstMark,2019-06-12
GV,2019-06-12
2019-06-12,Khosla Ventures
2019-06-12,Marc Benioff
2019-06-12,Multicoin Capital
2019-06-12,Munich Re Ventures
2019-06-12,Shawn Fanning
2019-06-12,Slow Ventures
2019-06-12,SV Angel
2019-06-12,Union Square Ventures
2019-06-12,AME Cloud Ventures
2019-06-12,Atreides Ventures
2019-06-12,Data Collective DCVC
2019-06-12,Future Ventures
Lam Research,2019-06-12
2019-06-12,Lockheed Martin Ventures
2019-06-12,Lux Capital
2019-06-12,Micron Ventures
2019-06-12,Softbank Ventures Asia
2019-06-12,Threshold
2019-06-12,Valor Equity Partners
2019-06-12,JR East Start Up
Mitsui Sumitomo Insuarance Venture Capital,2019-06-12
2019-06-12,AngelList
2019-06-12,Anupam Mittal
2019-06-12,Ashwin Jayaram
2019-06-12,Kartheek Pulavarthi
2019-06-12,LetsVenture
2019-06-12,Mohit Burman
2019-06-12,Raghunandan G
2019-06-12,Rattha Group
2019-06-12,ADV
2019-06-12,Draper Associates
2019-06-12,Draper Venture Network
GK-Plug and Play Indonesia,2019-06-12
2019-06-12,IQ Capital
2019-06-12,Mistletoe
2019-06-12,Pandan Ventures
2019-06-12,Battery Ventures
2019-06-12,Dawn Capital
2019-06-12,Gemini Israel Ventures
2019-06-12,Goldman Sachs
Hamilton Lane,2019-06-12
2019-06-12,La Maison ITF
2019-06-12,Maor Investments
2019-06-12,ProSieben
2019-06-12,Qumra Capital
2019-06-12,Vintage Investment Partners
2019-06-12,AMF
Bayerische Motoren Werke,2019-06-12
2019-06-12,Folksam
2019-06-12,Goldman Sachs
2019-06-12,IKEA
2019-06-12,Volkswagen Group
2019-06-12,August Capital
Cardworks,2019-06-12
2019-06-12,Galaxy Digital LP
2019-06-12,General Motors Ventures
2019-06-12,GreatPoint Ventures
2019-06-12,Multicoin Capital
2019-06-12,Pritzker Group
2019-06-12,RRE Ventures
Cascade Investment Fund,2019-06-12
2019-06-12,Deep Nishar
2019-06-12,Don Burnette
2019-06-12,Elad Gil
2019-06-12,Eric Schmidt
2019-06-12,Keval Desai
2019-06-12,Khosla Ventures
2019-06-12,Paul Buchheit
2019-06-12,Ram Shriram
2019-06-12,Fin Venture Capital
2019-06-12,BNK Ventures
2019-06-12,Capria Ventures
Hedgewood,2019-06-12
2019-06-12,Heron Rock Fund
2019-06-12,Kalaari Capital
2019-06-12,Nexus Venture Partners
2019-06-12,William Jarvis
2019-06-12,Andreessen Horowitz
2019-06-12,CRV
2019-06-12,General Catalyst
2019-06-12,Tiger Global Management
2019-06-12,Lightspeed Venture Partners
2019-06-12,Meron Capital
2019-06-12,NHN Investment
2019-06-12,SignalFire
Spider Capital,2019-06-12
AstraZeneca,2019-06-12
2019-06-12,Auven Therapeutics
Redmile Group,2019-06-12
2019-06-12,Venture Kick
Chiratae Ventures,2019-06-12
2019-06-12,CreditEase Fintech Investment Fund
2019-06-12,InnoCells
2019-06-12,Kalaari Capital
2019-06-12,Vertex Ventures
2019-06-12,Vertex Ventures Southeast Asia & India
2019-06-12,Mitsubishi UFJ Financial Group
2019-06-12,Standard Chartered Bank
2019-06-12,Acequia Capital (Acecap)
2019-06-12,Anorak Ventures
2019-06-12,Betaworks
DAG Ventures,2019-06-12
2019-06-12,First Round Capital
2019-06-12,Index Ventures
2019-06-12,Maveron
Boyu Capital,2019-06-12
2019-06-12,China Capital Investment Group
2019-06-12,Gaorong Capital
2019-06-12,Tencent Holdings
2019-06-12,Cavalry Ventures
2019-06-12,Frog Capital
2019-06-12,GR Capital
2019-06-12,Israel Growth Partners
2019-06-12,Piton Capital
2019-06-12,Target Global
2019-06-12,Andreessen Horowitz
2019-06-12,Matrix Partners
2019-06-12,Rod Johnson
2019-06-12,Trinity Ventures
2019-06-12,Webb Investment Network
2019-06-12,Atomico
2019-06-12,General Atlantic
2019-06-12,SoftBank Vision Fund
2019-06-12,Valor Capital Group
2019-06-12,StoneMill Ventures
2019-06-12,YL Ventures
2019-06-12,Gapminder VC
2019-06-12,Elad Gil
2019-06-12,JANVEST Capital Partners
Redpoint,2019-06-12
2019-06-12,Seedcamp
2019-06-12,UpWest
2019-06-12,Sure Ventures
2019-06-12,True Ventures
2019-06-12,Underscore VC
2019-06-12,Elephant
2019-06-12,Kohlberg Kravis Roberts
2019-06-12,TenEleven Ventures
Eurazeo,2019-06-12
2019-06-12,Highland Europe
2019-06-12,Morgan Stanley Alternative Investment Partners
2019-06-12,Sofina
2019-06-12,East Chain Co.
2019-06-12,Ideanomics
Kenetic,2019-06-12
2019-06-12,NEO
2019-06-12,Axeleo
2019-06-12,Elaia
2019-06-12,Isai
2019-06-12,Kernel Investissements
2019-06-12,Robbins Venture Capital
Anges Quebec,2019-06-12
2019-06-12,Anges Québec Capital
Innovacorp,2019-06-12
2019-06-12,MEDTEQ
2019-06-12,Real Ventures
Anges Quebec,2019-06-12
2019-06-12,Anges Québec Capital
Innovacorp,2019-06-12
2019-06-12,MEDTEQ
2019-06-12,Real Ventures
Anges Quebec,2019-06-12
2019-06-12,Anges Québec Capital
Innovacorp,2019-06-12
2019-06-12,MEDTEQ
2019-06-12,Real Ventures
2019-06-12,Gotham Green Partners
Granite Hall Partners,2019-06-12
2019-06-12,Mazakali
2019-06-12,Salveo Capital
2019-06-12,Contour Venture Partners
2019-06-12,NewSpring
2019-06-12,U.S. Venture Partners (USVP)
2019-06-12,Venrock
2019-06-12,4G Ventures
2019-06-12,BioCrossroads
Collina Ventures,2019-06-12
2019-06-12,Elevate Ventures
2019-06-12,General Catalyst
2019-06-12,Stephan Dietrich
2019-06-12,Primary Ventures
2019-06-12,Questa Capital Management
2019-06-12,Windham Venture Partners
2019-06-12,Avalon Ventures
2019-06-12,Union Square Ventures
2019-06-12,Valiant Capital Partners
2019-06-12,WarnerMedia
2019-06-12,Hiroaki Kitano
2019-06-12,PeakSpan Capital
Strategic Innovation Fund (SIF),2019-06-12
2019-06-12,Discovery Capital fund
2019-06-12,Edmentum
2019-06-12,Zhejiang Energy Group
Anges Quebec,2019-06-12
2019-06-12,Anges Québec Capital
Innovacorp,2019-06-12
2019-06-12,MEDTEQ
Anges Quebec,2019-06-12
2019-06-12,Anges Québec Capital
